Date,Temp
01/01/2011,20.7
02/01/2011,17.9
03/01/2011,18.8
04/01/2011,14.6
05/01/2011,15.8
06/01/2011,15.8
07/01/2011,15.8
08/01/2011,17.4
09/01/2011,21.8
10/01/2011,20.0
11/01/2011,16.2
12/01/2011,13.3
13/01/2011,16.7
14/01/2011,21.5
15/01/2011,25.0
16/01/2011,20.7
17/01/2011,20.6
18/01/2011,24.8
19/01/2011,17.7
20/01/2011,15.5
21/01/2011,18.2
22/01/2011,12.1
23/01/2011,14.4
24/01/2011,16.0
25/01/2011,16.5
26/01/2011,18.7
27/01/2011,19.4
28/01/2011,17.2
29/01/2011,15.5
30/01/2011,15.1
31/01/2011,15.4
01/02/2011,15.3
02/02/2011,18.8
03/02/2011,21.9
04/02/2011,19.9
05/02/2011,16.6
06/02/2011,16.8
07/02/2011,14.6
08/02/2011,17.1
09/02/2011,25.0
10/02/2011,15.0
11/02/2011,13.7
12/02/2011,13.9
13/02/2011,18.3
14/02/2011,22.0
15/02/2011,22.1
16/02/2011,21.2
17/02/2011,18.4
18/02/2011,16.6
19/02/2011,16.1
20/02/2011,15.7
21/02/2011,16.6
22/02/2011,16.5
23/02/2011,14.4
24/02/2011,14.4
25/02/2011,18.5
26/02/2011,16.9
27/02/2011,17.5
28/02/2011,21.2
01/03/2011,17.8
02/03/2011,18.6
03/03/2011,17.0
04/03/2011,16.0
05/03/2011,13.3
06/03/2011,14.3
07/03/2011,11.4
08/03/2011,16.3
09/03/2011,16.1
10/03/2011,11.8
11/03/2011,12.2
12/03/2011,14.7
13/03/2011,11.8
14/03/2011,11.3
15/03/2011,10.6
16/03/2011,11.7
17/03/2011,14.2
18/03/2011,11.2
19/03/2011,16.9
20/03/2011,16.7
21/03/2011,8.1
22/03/2011,8.0
23/03/2011,8.8
24/03/2011,13.4
25/03/2011,10.9
26/03/2011,13.4
27/03/2011,11.0
28/03/2011,15.0
29/03/2011,15.7
30/03/2011,14.5
31/03/2011,15.8
01/04/2011,16.7
02/04/2011,16.8
03/04/2011,17.5
04/04/2011,17.1
05/04/2011,18.1
06/04/2011,16.6
07/04/2011,10.0
08/04/2011,14.9
09/04/2011,15.9
10/04/2011,13.0
11/04/2011,7.6
12/04/2011,11.5
13/04/2011,13.5
14/04/2011,13.0
15/04/2011,13.3
16/04/2011,12.1
17/04/2011,12.4
18/04/2011,13.2
19/04/2011,13.8
20/04/2011,10.6
21/04/2011,9.0
22/04/2011,10.0
